,#,Company,Symbol,Weight,Price,Chg,% Chg
243,244,Public Service Enterprise Group Inc,PEG,0.082716,61.38,0.16,(0.25%)
244,245,Equifax Inc.,EFX,0.082445,254.60,1.53,(0.60%)
245,246,Verisk Analytics Inc,VRSK,0.082042,187.02,-1.37,(-0.73%)
246,247,Williams Companies Inc.,WMB,0.081656,25.51,0.36,(1.43%)
247,248,Copart Inc.,CPRT,0.081576,145.65,-0.99,(-0.68%)
248,249,PACCAR Inc,PCAR,0.081279,87.11,-0.48,(-0.54%)
249,250,Kroger Co.,KR,0.081235,39.79,-0.10,(-0.25%)
250,251,American Water Works Company Inc.,AWK,0.081181,165.93,-1.34,(-0.80%)
251,252,State Street Corporation,STT,0.080308,86.10,0.75,(0.88%)
252,253,Southwest Airlines Co.,LUV,0.080109,51.44,0.74,(1.45%)
253,254,Keysight Technologies Inc,KEYS,0.079486,159.88,0.18,(0.11%)
254,255,WEC Energy Group Inc,WEC,0.079336,93.99,-0.04,(-0.04%)
255,256,Eversource Energy,ES,0.079106,85.68,-0.54,(-0.63%)
256,257,CBRE Group Inc. Class A,CBRE,0.078763,89.34,1.61,(1.83%)
257,258,Zebra Technologies Corporation Class A,ZBRA,0.078485,546.36,-2.25,(-0.41%)
258,259,Arthur J. Gallagher & Co.,AJG,0.078469,140.39,-2.67,(-1.86%)
259,260,Willis Towers Watson Public Limited Company,WLTW,0.078102,205.96,-20.45,(-9.03%)
260,261,Equity Residential,EQR,0.077789,84.26,-0.56,(-0.66%)
261,262,Ameriprise Financial Inc.,AMP,0.077719,251.06,2.17,(0.87%)
262,263,Generac Holdings Inc.,GNRC,0.075606,444.28,-5.37,(-1.19%)
263,264,Lennar Corporation Class A,LEN,0.075527,101.59,-1.27,(-1.23%)
264,265,West Pharmaceutical Services Inc.,WST,0.075502,376.02,-5.05,(-1.33%)
265,266,Nucor Corporation,NUE,0.075197,97.68,3.35,(3.55%)
266,267,Laboratory Corporation of America Holdings,LH,0.074099,281.36,-2.41,(-0.85%)
267,268,Alexandria Real Estate Equities Inc.,ARE,0.072331,196.40,-0.55,(-0.28%)
268,269,V.F. Corporation,VFC,0.07136,82.97,-0.11,(-0.13%)
269,270,Maxim Integrated Products Inc.,MXIM,0.071181,99.35,0.07,(0.07%)
270,271,Etsy Inc.,ETSY,0.071076,206.43,-2.43,(-1.16%)
271,272,Realty Income Corporation,O,0.070393,70.59,0.11,(0.15%)
272,273,Hershey Company,HSY,0.070268,178.20,-1.06,(-0.59%)
273,274,Ball Corporation,BLL,0.070172,81.15,1.15,(1.44%)
274,275,Valero Energy Corporation,VLO,0.069628,65.23,1.52,(2.39%)
275,276,Weyerhaeuser Company,WY,0.069165,34.57,-0.01,(-0.03%)
276,277,Delta Air Lines Inc.,DAL,0.068983,41.35,0.94,(2.31%)
277,278,CDW Corp.,CDW,0.068246,181.48,0.53,(0.29%)
278,279,Fifth Third Bancorp,FITB,0.068055,36.27,0.49,(1.37%)
279,280,Kraft Heinz Company,KHC,0.068013,39.67,0.45,(1.13%)
280,281,Consolidated Edison Inc.,ED,0.067949,73.80,-0.38,(-0.51%)
281,282,Best Buy Co. Inc.,BBY,0.067606,114.48,1.20,(1.05%)
282,283,Synchrony Financial,SYF,0.067568,47.14,0.63,(1.35%)
283,284,Old Dominion Freight Line Inc.,ODFL,0.066964,258.81,-2.27,(-0.87%)
284,285,LyondellBasell Industries NV,LYB,0.066478,98.57,1.98,(2.05%)
285,286,ViacomCBS Inc. Class B,VIAC,0.066459,42.15,1.16,(2.82%)
286,287,Kansas City Southern,KSU,0.065966,267.60,-3.80,(-1.40%)
287,288,Republic Services Inc.,RSG,0.065405,116.09,-0.09,(-0.08%)
288,289,Enphase Energy Inc.,ENPH,0.064731,177.10,-1.08,(-0.61%)
289,290,Cerner Corporation,CERN,0.064239,78.09,-0.33,(-0.41%)
290,291,Waters Corporation,WAT,0.063959,382.53,-2.17,(-0.56%)
291,292,Vulcan Materials Company,VMC,0.063158,176.28,-1.86,(-1.04%)
292,293,Dover Corporation,DOV,0.063128,162.53,-1.76,(-1.07%)
293,294,ONEOK Inc.,OKE,0.063027,53.65,0.70,(1.31%)
294,295,Dollar Tree Inc.,DLTR,0.063007,100.40,0.25,(0.25%)
295,296,Fortive Corp.,FTV,0.062676,68.97,-0.35,(-0.50%)
296,297,United Rentals Inc.,URI,0.062592,328.51,4.45,(1.37%)
297,298,Clorox Company,CLX,0.062164,185.51,0.74,(0.40%)
298,299,Northern Trust Corporation,NTRS,0.062126,112.43,0.94,(0.84%)
299,300,Garmin Ltd.,GRMN,0.061604,153.41,-0.72,(-0.47%)
300,301,Extra Space Storage Inc.,EXR,0.061366,170.54,-0.87,(-0.51%)
301,302,Expedia Group Inc.,EXPE,0.061176,161.99,0.44,(0.27%)
302,303,International Paper Company,IP,0.061072,58.40,0.32,(0.54%)
303,304,DTE Energy Company,DTE,0.060312,115.47,-0.89,(-0.76%)
304,305,Gartner Inc.,IT,0.060058,263.00,2.39,(0.92%)
305,306,Ventas Inc.,VTR,0.059981,59.65,-0.20,(-0.33%)
